category,name,url,Image URL,Type,Base spirit,Ingredients,Preparation,Served,Standard drinkware,Standard garnish
Tequila,Boston tea party,https://en.wikipedia.org/wiki/Long_island_iced_tea,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Long_Island_Iced_Teas.jpg/250px-Long_Island_Iced_Teas.jpg,Cocktail,"Gin,Tequila,Vodka,Rum",15 mL Tequila 15 mL Vodka 15 mL White rum White rum 15 mL Cointreau 15 mL Gin 25 mL Lemon juice Lemon juice 30 mL simple syrup simple syrup Top with Cola,Add all ingredients into highball glass filled with ice. Stir gently. Optionally garnish with lemon slice.[1],On the rocks: poured over ice,Highball glass,lemon slice (optional)
Tequila,Batanga,https://en.wikipedia.org/wiki/Batanga_(cocktail),,,,,,,,
Tequila,Bloody Maria,https://en.wikipedia.org/wiki/Bloody_Mary_(cocktail)#Variations,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg/250px-Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg,Mixed drink,,45 mL vodka 90 mL tomato juice tomato juice 15 mL fresh lemon juice lemon juice 2 dashes of Worcestershire sauce Worcestershire sauce Tabasco sauce Tabasco sauce Celery salt Celery salt Black pepper Black pepper,"Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.",On the rocks: poured over ice,Highball glass,Celeryand lemon wedge (optional)
Tequila,Cantarito,https://en.wikipedia.org/wiki/Cantarito,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Cantarito_2025.jpg/250px-Cantarito_2025.jpg,Mixed drink,,60 mL Tequila 60 mL Orange Juice 30 mL Grapefruit Juice 22.5 mL Lime Juice Dash of Grapefruit Soda Pinch of Salt,"except grapefruit soda, combine other ingredients in cocktail shaker, shake with ice, pour into clay mug or high ball glass, pour grapefruit soda into clay mug or high ball glass, garnish with lime wedge and grapefruit wedge",,clay pot,lime wedge and grapefruit wedge
Tequila,Chimayó cocktail,https://en.wikipedia.org/wiki/Chimay%C3%B3_cocktail,,,,,,,,
Tequila,Death Flip,https://en.wikipedia.org/wiki/Death_Flip,,Cocktail,,30 mL (1 part) Tequila 15 mL (0.5 parts) Chartreuse 15 mL (0.5 parts) Jägermeister dash simple syrup simple syrup 1 whole egg,"dry shake, shake with ice, fine strain and garnish with freshly grated nutmeg.","Straight up: chilled, without ice",Champagne coupe,grated nutmeg
Tequila,Harlem mugger,https://en.wikipedia.org/wiki/Harlem_mugger_(cocktail),,,,,,,,
Tequila,Juan Collins,https://en.wikipedia.org/wiki/Juan_Collins_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/VTR_-_Tom_Collins.jpg/250px-VTR_-_Tom_Collins.jpg,Highball,Gin,6 cL (2 US fl oz) Old Tom gin Old Tom gin 2.5 cL (0.8 US fl oz) lemon juice lemon juice 1.5 cL (0.5 US fl oz) simple syrup simple syrup 5 cL (1.7 US fl oz) club soda club soda,"Mix the gin, lemon juice and sugar syrup in a tall glass with ice, top up with soda water, garnish and serve.",On the rocks: poured over ice,Collins glass,Lemonslice andmaraschino cherry
Tequila,Long Island iced tea,https://en.wikipedia.org/wiki/Long_Island_iced_tea,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Long_Island_Iced_Teas.jpg/250px-Long_Island_Iced_Teas.jpg,Cocktail,"Gin,Tequila,Vodka,Rum",15 mL Tequila 15 mL Vodka 15 mL White rum White rum 15 mL Cointreau 15 mL Gin 25 mL Lemon juice Lemon juice 30 mL simple syrup simple syrup Top with Cola,Add all ingredients into highball glass filled with ice. Stir gently. Optionally garnish with lemon slice.[1],On the rocks: poured over ice,Highball glass,lemon slice (optional)
Tequila,Margarita,https://en.wikipedia.org/wiki/Margarita,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/MargaritaReal.jpg/250px-MargaritaReal.jpg,Cocktail,Tequila,50 mL tequila 100% agave 20 mL triple sec triple sec 15 mL freshly squeezed lime juice,Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass.,"Rocks, straight up, frozen",Margarita glass,Half salt rim (optional)
